date;day_text;note
2019-01-01;;Jour de l'an
2019-01-21;;MLK day
2019-02-14;;Saint-Valentin
2019-03-08;;Fête des femmes
2019-03-11;;Début de l'heure avancée
2019-03-14;;Journée de \pi
2019-03-15;;Journée contre la brutalité policière
2019-03-20;;Équinoxe
2019-04-01;;Naissance d'Edmond Rostand
2019-04-20;;Fête du pot
2019-04-22;;Jour de la terre
2019-05-01;;Fête des travailleurs
2019-05-12;;Fête des mères
2019-05-25;;Jour de la serviette
2019-06-16;;Fête des pères
2019-06-21;;Solstice d'été
2019-07-01;;Jour du déménagement
2019-08-13;;Jour des gauchers
2019-09-02;;Fête du travail
2019-09-19;;Jour des pirates
2019-09-21;;Journée de la paix
2019-09-23;;Équinoxe
2019-10-14;;Jour des peuples autochtones
2019-10-21;;Nanomonestotes
2019-10-31;;Halloween
2019-11-05;;Guy Fawkes Night
2019-11-11;;Début de l'heure normale
2019-11-29;;Journée sans achat
2019-12-14;;Fête des singes
2019-12-22;;Solstice d'hiver
2019-12-25;;Naissance de Newton
2019-12-26;;Début du Kwanzaa
